,event,date,place
0,flood,06-04-2026,
1,thunderstorm,04-04-2026,
2,flood,02-04-2026,
3,flood,31-03-2026,
4,glof,30-03-2026,
5,,30-03-2026,
6,,24-03-2026,
7,,16-03-2026,
8,,13-03-2026,
9,glof,09-03-2026,
10,,09-03-2026,
11,,05-03-2026,plain
12,glof,23-02-2026,
13,,14-02-2026,
14,,07-02-2026,
15,,29-01-2026,
16,,23-01-2026,
17,flood,20-01-2026,
18,,15-01-2026,
19,,27-12-2025,
20,snowfall,17-12-2025,
21,snowfall,12-12-2025,
22,drought,05-12-2025,
23,rain,04-12-2025,
24,fog,26-11-2025,
25,thunderstorm,03-11-2025,
26,drought,31-10-2025,
27,,31-10-2025,
28,,30-10-2025,
29,,29-10-2025,
30,,28-10-2025,
31,,27-10-2025,
32,,26-10-2025,
33,,25-10-2025,
34,,24-10-2025,
35,smog,23-10-2025,
36,,23-10-2025,
37,,22-10-2025,
38,cyclonic,06-10-2025,
39,cyclonic,05-10-2025,
40,cyclonic,05-10-2025,
41,cyclonic,04-10-2025,
42,cyclonic,04-10-2025,
43,cyclonic,03-10-2025,
44,,03-10-2025,
45,,02-10-2025,
46,thunderstorm,01-10-2025,
47,,01-10-2025,
48,,30-09-2025,
49,,29-09-2025,
50,,29-09-2025,
51,,14-09-2025,
52,rain,07-09-2025,
53,,04-09-2025,
54,flood,02-09-2025,
55,flood,31-08-2025,
56,flood,26-08-2025,
57,rain,27-08-2025,
58,flood,27-08-2025,
59,flood,26-08-2025,
60,flood,25-08-2025,
61,glof,22-08-2025,
62,,21-08-2025,
63,,16-08-2025,
64,flood,15-08-2025,
65,glof,12-08-2025,
66,,12-08-2025,
67,,02-08-2025,
68,,25-07-2025,
69,,18-07-2025,
70,flood,16-07-2025,
71,rains,14-07-2025,
72,,10-07-2025,
73,glof,04-07-2025,
74,rains,02-07-2025,
75,flood,27-06-2025,
76,,23-06-2025,
77,,19-06-2025,
78,,12-06-2025,
79,,05-06-2025,
80,,02-06-2025,
81,,26-05-2025,
82,,24-05-2025,
83,,23-05-2025,upper
