name,author,downloads,language,file_type
The Adventures of Sherlock Holmes,Arthur Conan Doyle,40363,English,Ebook
The Hound of the Baskervilles,Arthur Conan Doyle,23334,English,Ebook
A Study in Scarlet,Arthur Conan Doyle,22884,English,Ebook
The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,19078,English,Ebook
The Sign of the Four,Arthur Conan Doyle,14188,English,Ebook
The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,13159,English,Ebook
The Return of Sherlock Holmes,Arthur Conan Doyle,12873,English,Ebook
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,12659,English,Ebook
The Mysterious Affair at Styles,Agatha Christie,12562,English,Ebook
The innocence of Father Brown,G. K. Chesterton,11479,English,Ebook
The Moonstone,Wilkie Collins,10409,English,Ebook
Poirot Investigates,Agatha Christie,10256,English,Ebook
The wisdom of Father Brown,G. K. Chesterton,10049,English,Ebook
The Secret Adversary,Agatha Christie,9735,English,Ebook
The Valley of Fear,Arthur Conan Doyle,9715,English,Ebook
The Murder on the Links,Agatha Christie,9640,English,Ebook
His last bow :  Some later reminiscences of Sherlock Holmes,Arthur Conan Doyle,9384,English,Ebook
The Man in the Brown Suit,Agatha Christie,9011,English,Ebook
The Return of Sherlock Holmes,Arthur Conan Doyle,8465,English,Ebook
The Mystery of the Yellow Room,Gaston Leroux,8298,English,Ebook
Whose Body? A Lord Peter Wimsey Novel,Dorothy L. Sayers,8229,English,Ebook
The Red House Mystery,A. A. Milne,8213,English,Ebook
The Secret of the Night,Gaston Leroux,7969,English,Ebook
The Hand in the Dark,Arthur J. Rees,7764,English,Ebook
The Middle Temple Murder,J. S. Fletcher,6839,English,Audiobook
The Middle Temple Murder,J. S. Fletcher,6839,English,Audiobook
The innocence of Father Brown,G. K. Chesterton,2353,English,Audiobook
The Triumphs of Eugene Valmont,Robert Barr,2332,,
The Old Man in the Corner,Baroness Emmuska Orczy Orczy,859,English,Ebook
The Hound of the Baskervilles,Arthur Conan Doyle,852,English,Audiobook
The Adventure of the Devil's Foot,Arthur Conan Doyle,847,English,Ebook
The Clue of the Twisted Candle,Edgar Wallace,847,English,Ebook
The Honor of the Name,Emile Gaboriau,841,,
The Middle Temple Murder,J. S. Fletcher,669,English,Ebook
The Rome Express,Arthur Griffiths,668,English,Ebook
Hunted Down: The Detective Stories of Charles Dickens,Charles Dickens,666,English,Ebook
Max Carrados,Ernest Bramah,666,English,Ebook
The Adventure of the Red Circle,Arthur Conan Doyle,636,English,Ebook
The Disappearance of Lady Frances Carfax,Arthur Conan Doyle,630,English,Ebook
The Circular Study,Anna Katharine Green,626,English,Ebook
The Gloved Hand,Burton Egbert Stevenson,613,English,Ebook
The Mystery of the Boule Cabinet: A Detective Story,Burton Egbert Stevenson,595,English,Ebook
Cleek: the Man of the Forty Faces,Thomas W. Hanshew,579,English,Ebook
The Moon Rock,Arthur J. Rees,576,English,Ebook
"Monsieur Lecoq — Volume2 (French)",Emile Gaboriau,573,French,Ebook
"Monsieur Lecoq — Volume 1 (French)",Emile Gaboriau,570,French,Ebook
The Orange-Yellow Diamond,J. S. Fletcher,563,English,Ebook
The Sign of the Four,Arthur Conan Doyle,561,English,Audiobook
La corde au cou (French),Emile Gaboriau,548,French,Ebook
The Rayner-Slade Amalgamation,J. S. Fletcher,547,English,Ebook
The Last Stroke: A Detective Story,Lawrence L. Lynch,534,English,Ebook
The Passenger from Calais,Arthur Griffiths,524,English,Ebook
Four Max Carrados Detective Stories,Ernest Bramah,514,English,Ebook
That Affair at Elizabeth,Burton Egbert Stevenson,509,English,Ebook
The Borough Treasurer,J. S. Fletcher,504,English,Ebook
L'affaire Lerouge (French),Emile Gaboriau,499,French,Ebook
"R. Holmes & Co.",John Kendrick Bangs,498,English,Ebook
Scarhaven Keep,J. S. Fletcher,497,English,Ebook
The Mystery of Orcival,Emile Gaboriau,493,English,Ebook
The Brand of Silence: A Detective Story,Johnston McCulley,493,English,Ebook
The Talleyrand Maxim,J. S. Fletcher,466,English,Ebook
L'argent des autres: 2. La pêche en eau trouble (French),Emile Gaboriau,456,French,Ebook
Les etranges noces de Rouletabille (French),Gaston Leroux,455,French,Ebook
L'argent des autres: 1. Les hommes de paille (French),Emile Gaboriau,443,French,Ebook
The Holladay case :  a tale,Burton Egbert Stevenson,440,English,Ebook
The Shrieking Pit,Arthur J. Rees,433,English,Ebook
The Middle of Things,J. S. Fletcher,432,English,Ebook
The Ashiel mystery :  a detective story,Marion Bryce,422,English,Ebook
Dead Men's Money,J. S. Fletcher,360,English,Ebook
Hunted Down,Charles Dickens,234,English,Audiobook
